Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Landtechnik,0023-8082,2700-7898,"English, German",Kuratorium für Technik und Bauwesen in der Landwirtschaft e. V.,No,CC BY,No
Géneroos,,2992-7862,Spanish,Universidad de Colima,No,CC BY-NC-SA,No
agricultural engineering.eu,,2943-5641,"German, English",Kuratorium für Technik und Bauwesen in der Landwirtschaft e. V.,No,CC BY,No
Maǧallaẗ Kulliyyaẗ Al-Tarbiyyaẗ,2682-3055,2682-3063,Arabic,"Beni-Suef University, Faculty of Education",No,CC BY-NC,Yes
International Journal of Sediment Research,1001-6279,2589-7284,English,"KeAi Communications Co., Ltd.",No,CC BY-NC-ND,Yes
Egyptian Journal of Critical Care Medicine,2090-7303,2090-9209,English,Springer,No,CC BY,No
Biofunctional Materials,2959-0574,2959-0582,English,ELS Publishing (ELSP),No,CC BY,No
Kongzhi Yu Xinxi Jishu,2096-5427,,Chinese,Editorial Office of Control and Information Technology,No,CC BY-NC-ND,Yes
Bioquímica y Patología Clínica,1515-6761,2684-0359,Spanish,Asociación Bioquímica Argentina,No,CC BY-NC-SA,No
eLife,,2050-084X,English,eLife Sciences Publications Ltd,Yes,"CC BY, CC0",Yes
National Journal of Community Medicine,0976-3325,2229-6816,English,Medsci Publications,No,CC BY-SA,Yes
National Journal of Medical Research,2249-4995,2277-8810,English,Medsci Publications,No,CC BY-SA,Yes
Discover Geoscience,,2948-1589,English,Springer,No,CC BY,No
Frontiers in Carbon,,2813-4192,English,Frontiers Media S.A.,Yes,CC BY,Yes
Annapurna Journal of Health Sciences,2773-8019,2795-1502,English,Annapurna Neurological Institute and Allied Sciences,No,CC BY-NC,No
Africania,,2757-8925,"Arabic, French, English, Turkish",Inonu University,No,CC BY-NC,No
"Nepal Journal of Dermatology, Venereology & Leprology",2091-0231,2091-167X,English,"Society of Dermatologists, Venereologists and Leprologists of Nepal (SODVELON)",No,CC BY,No
STEM Education,,2767-1925,English,AIMS Press,No,CC BY,No
Cybrarians Journal,,1687-2215,"Arabic, English",Cybrarians: The Arabic Portal for Librarianship and Information,No,CC BY,No
Jinshu shijie,1000-6826,,Chinese,Science Press,No,CC BY-NC-ND,Yes
Jurnal Sumber Daya Air,,2548-494X,"Indonesian, English",Direktorat Bina Teknik Sumber Daya Air,No,CC BY-SA,No
Kashmir Journal of Science,,2958-7832,English,"Faculty of Science, The University of Azad Jammu & Kashmir, Muzaffarabad",No,CC BY-NC,No
Archival Notes,,2499-832X,English,Fondazione Giorgio Cini,No,CC BY-NC-ND,No
Journal of Eta Maritime Science,,2148-9386,English,Galenos Publishing House,No,CC BY-NC,No
Filosofia Unisinos,,1984-8234,"English, Portuguese, Spanish",Universidade do Vale do Rio dos Sinos,No,CC BY,No
Asia-Pacific Science Education,,2364-1177,English,Brill | Sense,No,CC BY,Yes
Triple Helix,,2197-1927,English,Brill | Sense,No,CC BY,Yes
Contrastive Pragmatics,2666-0385,2666-0393,English,Brill,No,CC BY,No
Journal of Greek Linguistics,1566-5844,1569-9846,English,Brill,No,CC BY,Yes
Video Journal of Education and Pedagogy,,2364-4583,English,Brill | Sense,No,CC BY,Yes
International Journal of Wood Culture,2772-3186,2772-3194,English,Brill,No,CC BY,No
NWIG,1382-2373,2213-4360,English,Brill,No,CC BY,No
Indo-European Linguistics,2212-5884,2212-5892,English,Brill,No,CC BY,No
"Bijdragen tot de Taal-, Land- en Volkenkunde",0006-2294,2213-4379,"Dutch, English",Brill,No,CC BY,No
Journal of Jesuit Studies,2214-1324,2214-1332,English,Brill,No,CC BY-NC,No
Fascism,2211-6249,2211-6257,English,Brill,No,CC BY,Yes
Revista Médica Herediana,1018-130X,1729-214X,Spanish,Universidad Peruana Cayetano Heredia,No,CC BY,No
Kalam,0853-9510,2540-7759,"Arabic, English, Indonesian",Universitas Islam Negeri Raden Intan Lampung,No,CC BY-SA,No
Journal of Midwifery & Reproductive Health,,2345-4792,English,Mashhad University of Medical Sciences,No,CC BY-NC,No
Runa,0325-1217,1851-9628,"Spanish, Portuguese",Universidad de Buenos Aires,No,CC BY,No
International Journal of Biomedicine and Public Health,,2588-5375,English,Negah Institute for Scientific Communication,No,CC BY-NC,No
Walailak Journal of Science and Technology,1686-3933,2228-835X,English,Walailak University,No,CC BY-NC-ND,No
Culture and Local Governance,,1911-7469,"English, French",University of Ottawa,No,CC BY,No
Aporia,,1918-1345,"French, English",University of Ottawa,No,CC BY,No
Arxiu d'Etnografia de Catalunya,0212-0372,2014-3885,"Spanish, Catalan",Universitat Rovira i Virgili,No,CC BY-NC-SA,No
Revista de Filosofia,0104-4443,1980-5934,"English, Spanish, Portuguese",Editora Universitária Champagnat - PUCPRESS,No,CC BY,No
Sakarya Üniversitesi Fen Bilimleri Enstitüsü Dergisi,1301-4048,2147-835X,English,Sakarya University,No,CC BY-NC,No
Synthèse,1111-4924,2352-9717,"English, French",Université Badji Mokhtar Annaba,No,CC BY,No
International Journal of Chinese Language Teaching,,2708-9517,"Chinese, English",Clifford Media International,No,CC BY,No
International Journal of Physiotherapy,2349-5987,2348-8336,English,Vasinformatics,Yes,CC BY-NC,Yes
Ephata,2184-5778,2795-4900,"Portuguese, English, Spanish, French, Italian","Universidade Católica Portuguesa, Faculdade de Teologia",No,CC BY,No
Turkish Journal of Colorectal Disease,2536-4898,2536-4901,English,Galenos Publishing House,No,CC BY-NC,No
Humanis,2528-5076,2302-920X,"English, Indonesian",Universitas Udayana,No,CC BY,Yes
Jurnal Inovasi Pendidikan Agama Islam,2809-1345,2809-5359,"English, Indonesian","Program Studi Pendidikan Agama Islam S2, Universitas Islam Negeri Sunan Gunung Djati Bandung",No,CC BY-SA,No
Cadernos de Pesquisa,,2178-2229,"English, Portuguese, Spanish",Universidade Federal do Maranhão,No,CC BY,No
HSJ,,2966-0408,"Portuguese, English",Hospital de Clínicas de Itajubá,No,CC BY,No
Sakarya Üniversitesi İşletme Enstitüsü Dergisi,,2717-767X,"Turkish, English",Sakarya University,No,CC BY-NC,No
Alhiwar: Jurnal Ilmu dan Teknik Dakwah,2354-9068,2579-9851,"English, Indonesian",Faculty Dawah and Communication Science UIN Antasari Banjarmasin,No,CC BY,No
Muhandisī va mudirīyyat-i ābkhīz,2251-9300,2322-536X,Persian,Soil Conservation and Watershed Management Research Institute (SCWMRI)‎,No,CC BY,Yes
Advances in Drug and Alcohol Research,,2674-0001,English,Frontiers Media S.A.,Yes,CC BY,Yes
Journal of the Bahrain Medical Society,1015-6321,2960-6004,English,Bahrain Medical Society,No,CC BY-NC,Yes
Urban Lifeline,,2731-9989,English,Springer Nature,No,CC BY,No
African Journal of Nephrology,2306-8205,2518-4601,English,African Association of Nephrology,No,CC BY,Yes
Multidisciplinary Respiratory Medicine,,2049-6958,English,Mattioli 1885,No,CC BY-NC,Yes
Jurnal Teknik Sipil,1411-9331,2549-7219,"Indonesian, English",Universitas Kristen Maranatha,No,CC BY-NC,No
communication +1,,2380-6109,English,University of Massachusetts Amherst Libraries,No,CC BY-SA,No
Austral Journal of Imaging (Revista Chilena de Radiología),2810-6954,,"English, Spanish",Permanyer,No,CC BY-NC-ND,No
Patra Widya: Seri Penerbitan Penelitian Sejarah dan Budaya,1411-5239,2598-4209,"Indonesian, English",Balai Pelestarian Nilai Budaya Daerah Istimewa Yogyakarta,No,CC BY-SA,No
Aceh Journal of Animal Science,2502-9568,2622-8734,English,Faculty of Marine and Fisheries Universitas Syiah Kuala,No,CC BY,No
Ilmu Kelautan,0853-7291,2406-7598,English,Diponegoro University; Association of Indonesian Coastal Management Experts,No,CC BY-SA,Yes
Forum for Contemporary Issues in Language and Literature,,2719-8111,"English, Spanish",University of Siedlce,No,CC BY-NC-ND,No
Nexo,1818-6742,1995-9516,"Spanish, English",Universidad Nacional de Ingeniería,No,CC BY-NC-ND,No
Logi,,2336-3037,English,Sciendo,No,CC BY-NC-ND,Yes
Ulumuddin,1907-2333,2685-9211,"Indonesian, English",Fakultas Agama Islam Universitas Cokroaminoto Yogyakarta,No,CC BY-SA,Yes
Turkish Archives of Pediatrics,,2757-6256,English,AVES Yayincilik,No,CC BY-NC,No
Mining and Metallurgy Engineering Bor,2334-8836,2406-1395,English,"Mining and Metallurgy Institute, Bor",No,CC BY,No
International Journal of Nanomedicine,,1178-2013,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
HIV/AIDS: Research and Palliative Care,,1179-1373,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
International Medical Case Reports Journal,,1179-142X,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Clinical Pharmacology: Advances and Applications,,1179-1438,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Advances and Applications in Bioinformatics and Chemistry,,1178-6949,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
ClinicoEconomics and Outcomes Research,,1178-6981,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Clinical and Experimental Gastroenterology,,1178-7023,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Therapeutics and Clinical Risk Management,1176-6336,1178-203X,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
International Journal of COPD,1176-9106,1178-2005,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Patient Preference and Adherence,,1177-889X,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
International Journal of General Medicine,,1178-7074,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Journal of Experimental Pharmacology,,1179-1454,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Clinical Ophthalmology,,1177-5483,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Journal of Asthma and Allergy,,1178-6965,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Infection and Drug Resistance,,1178-6973,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
"Clinical, Cosmetic and Investigational Dermatology",,1178-7015,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Journal of Hepatocellular Carcinoma,,2253-5969,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
"Diabetes, Metabolic Syndrome and Obesity",,1178-7007,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Clinical Interventions in Aging,,1178-1998,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Journal of Inflammation Research,,1178-7031,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Clinical Epidemiology,,1179-1349,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
International Journal of Women's Health,,1179-1411,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Psychology Research and Behavior Management,,1179-1578,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Nature and Science of Sleep,,1179-1608,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Risk Management and Healthcare Policy,,1179-1594,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
"Drug Design, Development and Therapy",,1177-8881,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Neuropsychiatric Disease and Treatment,,1178-2021,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Journal of Multidisciplinary Healthcare,,1178-2390,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Transplant Research and Risk Management,,1179-1616,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Pathology and Laboratory Medicine International,,1179-2698,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Patient Related Outcome Measures,,1179-271X,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Research and Reports in Neonatology,,1179-9935,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Veterinary Medicine: Research and Reports,,2230-2034,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
"Adolescent Health, Medicine and Therapeutics",,1179-318X,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Advances in Medical Education and Practice,,1179-7258,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Hepatic Medicine: Evidence and Research,,1179-1535,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Research Reports in Clinical Cardiology,,1179-8475,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Journal of Healthcare Leadership,,1179-3201,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Psoriasis: Targets and Therapy,,2230-326X,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Clinical Optometry,,1179-2752,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Journal of Pain Research,,1178-7090,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Research and Reports in Urology,,2253-2447,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
"Pediatric Health, Medicine and Therapeutics",,1179-9927,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Integrated Pharmacy Research and Practice,,2230-5254,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
ImmunoTargets and Therapy,,2253-1556,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Research and Reports in Tropical Medicine,,1179-7282,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Journal of Radiation Research,0449-3060,1349-9157,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Journal of Urban Ecology,,2058-5543,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Journal of Hip Preservation Surgery,,2054-8397,English,Oxford University Press,No,CC BY,Yes
Transactions of Mathematics and its Applications,,2398-4945,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Stem Cells Translational Medicine,2157-6564,2157-6580,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Social Cognitive and Affective Neuroscience,1749-5016,1749-5024,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
Sleep Advances,,2632-5012,English,Oxford University Press,No,"CC BY, CC BY-NC-ND",Yes
International Journal of Low-Carbon Technologies,1748-1317,1748-1325,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
in silico Plants,,2517-5025,English,Oxford University Press,No,CC BY,Yes
Nucleic Acids Research,0305-1048,1362-4962,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Translational Animal Science,,2573-2102,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
Synthetic Biology,,2397-7000,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
Oxford Open Energy,,2752-5082,English,Oxford University Press,No,CC BY,Yes
Journal of Industrial Microbiology and Biotechnology,1367-5435,1476-5535,English,Oxford University Press,No,"CC BY, CC BY-NC-ND",Yes
Neuro-Oncology Advances,,2632-2498,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Food Quality and Safety,2399-1399,2399-1402,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
Immunotherapy Advances,,2732-4303,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
JAC-Antimicrobial Resistance,,2632-1823,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
Integrative Organismal Biology,,2517-4843,English,Oxford University Press,No,CC BY,Yes
"Evolution, Medicine and Public Health",,2050-6201,English,Oxford University Press,No,CC BY,Yes
Journal of Integrated Pest Management,,2155-7470,English,Oxford University Press,No,"CC BY, CC BY-NC, CC BY-NC-ND",Yes
IJQHC Communications,,2634-5293,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
DNA Research,1340-2838,1756-1663,English,Oxford University Press,No,"CC BY, CC BY-NC",Yes
IEEE Access,,2169-3536,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of Circuits and Systems,,2644-1225,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of Nanotechnology,,2644-1292,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of Signal Processing,,2644-1322,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of Industry Applications,,2644-1241,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Open Journal of the Computer Society,,2644-1268,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Journal of Microwaves,,2692-8388,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
Nonlinear Engineering,2192-8010,2192-8029,English,De Gruyter,No,CC BY,Yes
Journal of Intelligent Systems,0334-1860,2191-026X,English,De Gruyter,No,CC BY,Yes
e-Polymers,,1618-7229,English,De Gruyter,No,CC BY,Yes
IEEE Open Journal of the Solid-State Circuits Society,,2644-1349,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
IEEE Transactions on Quantum Engineering,,2689-1808,English,IEEE,No,"CC BY, CC BY-NC-ND",Yes
Translational Neuroscience,,2081-6936,English,De Gruyter,No,CC BY-NC-ND,Yes
Nanophotonics,2192-8606,2192-8614,English,De Gruyter,No,CC BY,Yes
Main Group Metal Chemistry,0792-1241,2191-0219,English,De Gruyter,Yes,CC BY,Yes
Open Education Studies,,2544-7831,English,De Gruyter,No,CC BY,Yes
Revista de Investigaciones Marinas,,1991-6086,"Spanish, English",Centro de investigaciones Marinas-UH,No,CC BY-NC,No
Agrisost,,1025-0247,"Spanish, English",Universidad de Camagüey Ignacio Agramonte Loynaz,No,CC BY-NC-ND,No
Ekonomski Pogledi,1450-7951,2334-7570,"English, Serbian","University of Pristina in Kosovska Mitrovica, Faculty of Economics",No,CC BY,No
Slovenian Veterinary Research,1580-4003,2385-8761,"English, Slovenian",University of Ljubljana Press (Založba Univerze v Ljubljani),No,CC BY-SA,No
Lecturas de Economía,0120-2596,2323-0622,"English, Spanish",Universidad de Antioquia,No,CC BY-NC-SA,No
Revista San Gregorio,1390-7247,2528-7907,Spanish,Universidad San Gregorio,No,CC BY-NC-ND,No
Vox Juris,1812-6804,2521-5280,Spanish,Universidad de San Martín de Porres,No,CC BY,No
Offentlig Förvaltning: Scandinavian Journal of Public Administration,2000-8058,2001-3310,"Norwegian Bokmål, English",University of Gothenburg,No,CC BY-NC-ND,No
Revista Uruguaya de Ciencia Política,0797-9789,1688-499X,Spanish,Universidad de la República,No,CC BY-NC,No
Meitan xuebao,0253-9993,,Chinese,Editorial Office of Journal of China Coal Society,No,CC BY-NC-ND,Yes
"Celt: A Journal of Culture, English Language Teaching & Literature",1412-3320,2502-4914,English,Soegijapranata Catholic University,No,CC BY,Yes
Al-Arkhabiil,2809-5006,2830-2656,"English, Arabic",STAI AS-SUNNAH,No,CC BY,No
Journal of Aceh Physics Society,2355-8229,,"English, Indonesian",Aceh Physics Society; Syiah Kuala University,No,CC BY,Yes
Química Nova,0100-4042,1678-7064,"Spanish, Portuguese, English",Sociedade Brasileira de Química,No,CC BY-NC,Yes
Jornal Brasileiro de Patologia e Medicina Laboratorial,1676-2444,1678-4774,English,Sociedade Brasileira de Patologia Clínica,No,CC BY,No
Journal of Cardiovascular Magnetic Resonance,1097-6647,1532-429X,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Tecnología Educativa,,2395-9061,Spanish,Consejo Nacional de Acreditación en Informática y Computación A.C.,No,CC BY-NC,No
La Zaranda de Ideas,1669-7456,1853-1296,Spanish,Asociación de Arqueólogos Profesionales de la República Argentina,No,CC BY-NC-SA,No
"Revista de Investigación, Desarrollo e Innovación",2027-8306,2389-9417,"English, Spanish",Universidad Pedagógica y Tecnológica de Colombia,No,CC BY,No
Nordisk Tidsskrift for Helseforskning,1504-3614,1891-2982,"Danish, Swedish, Norwegian",Septentrio Academic Publishing,Yes,CC BY,No
"People, Place and Policy Online",,1753-8041,English,Sheffield Hallam University,No,CC BY,No
Asia-Pacific Journal of Ophthalmology,,2162-0989,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Jurnal Nuansa Akademik,1858-2826,2747-0954,"English, Indonesian",Lembaga Dakwah dan Pembangunan Masyarakat Universitas Cokroaminoto Yogyakarta,No,CC BY-SA,Yes
Cardiorenal Medicine,,1664-5502,English,Karger Publishers,No,CC BY-NC,Yes
Journal of Genetic Engineering and Biotechnology,1687-157X,2090-5920,English,Elsevier,No,"CC BY, CC BY-NC-ND",Yes
Ophthalmic Research,0030-3747,1423-0259,English,Karger Publishers,No,"CC BY, CC BY-NC",Yes
Glomerular Diseases,,2673-3633,English,Karger Publishers,No,"CC BY, CC BY-NC",Yes
Microbial Physiology,2673-1665,2673-1673,English,Karger Publishers,No,"CC BY, CC BY-NC",Yes
Animal Welfare,0962-7286,2054-1538,English,Cambridge University Press,No,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",Yes
Renewable Agriculture and Food Systems,,1742-1713,English,Cambridge University Press,No,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",Yes
Parasitology,0031-1820,1469-8161,English,Cambridge University Press,No,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",Yes
QRB Discovery,,2633-2892,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Annals of Glaciology,0260-3055,1727-5644,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Epidemiology and Psychiatric Sciences,2045-7960,2045-7979,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Journal of Agricultural and Applied Economics,,2056-7405,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Primary Health Care Research and Development,,1477-1128,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Gut Microbiome,,2632-2897,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Epidemiology and Infection,,1469-4409,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
The Journal of Classics Teaching,,2058-6310,English,Cambridge University Press,No,CC BY-NC-ND,No
Wearable Technologies,,2631-7176,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
"Forum of Mathematics, Pi",,2050-5086,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Evolutionary Human Sciences,,2513-843X,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Data-Centric Engineering,,2632-6736,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Quantitative Plant Biology,,2632-8828,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Latin American Research Review,,1542-4278,"Spanish, Portuguese, English",Cambridge University Press,No,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",Yes
BJPsych Bulletin,2056-4694,2056-4708,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",No
Judgment and Decision Making,,1930-2975,English,Cambridge University Press,No,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",Yes
Journal of Nutritional Science,,2048-6790,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
"Forum of Mathematics, Sigma",,2050-5094,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Agricultural and Resource Economics Review,1068-2805,2372-2614,English,Cambridge University Press,No,"CC BY, CC BY-NC-SA, CC BY-NC-ND",Yes
Public Health Genomics,,1662-8063,English,Karger Publishers,No,CC BY-NC,Yes
Pulse,,2235-8668,English,Karger Publishers,No,"CC BY, CC BY-NC",Yes
Transfusion Medicine and Hemotherapy,1660-3796,1660-3818,English,Karger Publishers,No,"CC BY, CC BY-NC",Yes
Pharmacogenomics and Personalized Medicine,,1178-7066,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Соціологічні студії,2306-3971,2521-1056,"Ukrainian, English",Taras Shevchenko National University of Kyiv,No,CC BY-NC,Yes
Storìnki Istorìï,2307-5244,2411-0647,"English, Ukrainian",Igor Sikorsky Kyiv Polytechnic Institute,No,CC BY,Yes
Al-Andalus Magreb,1133-8571,2660-7697,"English, French, Italian, Spanish, Arabic",Universidad de Cádiz,No,CC BY-NC-ND,No
Bogoslovska Smotra,0352-3101,1848-9648,"Croatian, English, German, Italian, French","University of Zagreb, Catholic Faculty of Theology",No,CC BY-NC,No
BJR|open,,2513-9878,English,Oxford University Press,No,CC BY,Yes
Drewno,1644-3985,2956-9141,English,Łukasiewicz Research Network - Poznan Institute of Technology,No,CC BY,No
Prague Journal of English Studies,,2336-2685,English,Charles University,No,CC BY-NC-SA,No
Bakar,0351-0212,,Serbian,"Mining and Metallurgy Institute, Bor",No,CC BY,No
Nutrition and Dietary Supplements,,1179-1489,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Open Access Emergency Medicine,,1179-1500,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Open Access Journal of Clinical Trials,,1179-1519,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Vascular Health and Risk Management,1176-6344,1178-2048,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Biologics: Targets & Therapy,1177-5475,1177-5491,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
"Drug, Healthcare and Patient Safety",,1179-1365,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Stem Cells and Cloning: Advances and Applications,,1178-6957,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
International Journal of Nephrology and Renovascular Disease,,1178-7058,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Breast Cancer: Targets and Therapy,,1179-1314,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Cancer Management and Research,,1179-1322,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
"Clinical, Cosmetic and Investigational Dentistry",,1179-1357,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Substance Abuse and Rehabilitation,,1179-8467,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Blood and Lymphatic Cancer: Targets and Therapy,,1179-9889,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Open Access Journal of Contraception,,1179-1527,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Integrated Blood Pressure Control,,1178-7104,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Local and Regional Anesthesia,,1178-7112,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
The Application of Clinical Genetics,,1178-704X,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
"Nanotechnology, Science and Applications",,1177-8903,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Chronic Wound Care Management and Research,,2324-481X,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Lung Cancer: Targets and Therapy,,1179-2728,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Journal of Blood Medicine,,1179-2736,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Eye and Brain,,1179-2744,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Orthopedic Research and Reviews,,1179-1462,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Medical Devices: Evidence and Research,,1179-1470,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Open Access Surgery,,1178-7082,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Open Access Journal of Sports Medicine,,1179-1543,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Open Access Rheumatology: Research and Reviews,,1179-156X,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
Nursing: Research and Reviews,,2230-522X,English,Dove Medical Press,No,"CC BY, CC BY-NC",Yes
